"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"18",138.25333,37.0259,"1828740470",141,54,184,8367,294,-1,295,35,154,262,27,1662,199,71,29,595,227,415,472
"19",138.24918,36.40219,"1828740526",126,69,219,8662,287,-30,317,229,14,249,8,878,125,31,44,369,105,311,113
"20",139.015599,35.182451,"1829928322",115,63,224,7465,252,-28,280,204,17,221,14,2353,310,77,40,863,255,799,295
"21",140.273333,37.668056,"2579449408",76,60,207,8023,227,-62,290,173,-31,192,-31,1249,171,57,37,477,177,461,177
"22",138.31828,36.27084,"1828740684",112,71,225,8596,273,-44,317,211,1,234,-4,917,136,26,47,368,92,307,111
"23",140.690283770862,39.4320497333077,"2575976474",79,65,210,8420,239,-68,308,201,-33,201,-33,1933,234,105,26,700,339,700,339
"24",138.607222,36.651667,"1829647533",87,67,218,8407,245,-62,307,185,-20,208,-26,1239,194,48,51,568,154,528,155
"25",139.183611,36.811667,"1829640896",67,66,221,8211,222,-79,301,164,-37,185,-43,1784,293,56,57,869,176,810,192
"26",139.153056,36.771389,"1829641327",76,67,221,8247,231,-71,303,172,-29,194,-35,1871,296,50,59,874,158,873,172
"27",144.439722,43.599167,"2243100399",59,58,186,8565,214,-96,311,167,-63,178,-63,989,140,37,37,412,129,368,129
"28",138.415628,36.823901,"2579694508",111,62,204,8441,268,-35,303,154,127,233,-2,1570,166,81,19,468,265,426,394
"29",137.86246,36.69806,"1828739802",110,61,200,8456,266,-37,303,210,70,232,-4,1201,140,70,21,399,220,342,277
"30",139.633056,36.08,"1829641243",153,72,235,8048,305,-2,308,247,48,268,44,1418,202,40,48,587,120,522,142
"31",139.139167,36.803333,"1829641597",37,66,223,8113,191,-107,298,133,-65,154,-71,2249,324,87,43,946,277,880,297
"32",139.135556,36.803889,"1829639927",37,66,223,8113,191,-107,298,133,-65,154,-71,2249,324,87,43,946,277,880,297
"33",138.47711,36.24886,"1828739043",115,72,228,8564,275,-42,317,217,4,236,-2,981,132,26,48,395,90,370,108
"34",139.375833,36.798333,"1829639900",17,67,226,7983,169,-125,294,112,-84,132,-89,2262,327,78,44,961,246,885,280
"35",139.374722,36.7975,"1829639914",22,67,226,8000,174,-121,295,117,-79,137,-85,2243,312,80,41,920,252,859,288
"36",140.939,43.177,"2243060765",73,40,137,8559,222,-68,289,-38,82,196,-42,1459,163,69,24,483,222,337,425
"37",121.28,24.14,"1086047985",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"38",138.27177,36.25586,"1828740757",112,71,225,8603,273,-44,317,215,1,234,-4,915,125,27,44,357,95,305,114
"39",139.4,36.821667,"1829639447",29,66,225,8014,181,-114,295,124,-73,144,-78,2154,322,76,45,948,236,863,264
"40",139.191111,36.5425,"1829641546",73,70,229,8213,228,-77,305,169,-32,191,-38,2055,327,49,54,956,161,871,200
"41",139.391111,36.813889,"1829639960",33,66,225,8034,185,-110,296,128,-69,149,-74,2114,305,82,39,881,256,774,289
"42",139.3775,36.803056,"1829644906",23,66,226,8000,175,-120,295,118,-78,138,-84,2206,315,81,41,916,255,827,289
"43",137.655494,35.227634,"1829870653",90,67,228,7870,238,-54,292,183,-12,202,-16,2337,304,75,40,886,239,727,294
"44",140.878,43.192,"2243060856",84,38,133,8540,232,-56,287,-26,92,206,-31,1462,157,68,24,470,228,324,409
"45",121.25,24.39,"1086047013",56,48,298,3892,137,-25,162,97,5,107,3,2659,342,100,39,1003,322,941,435
"46",137.5905,35.27918,"1828739067",116,68,228,8043,266,-32,298,211,11,230,7,1831,277,51,51,813,163,640,198
"47",139.421667,36.808333,"1829900980",56,66,223,8102,209,-89,298,152,-47,173,-52,1838,298,53,57,886,163,832,183
"48",139.368889,36.787778,"1829639838",28,67,226,8017,180,-116,296,123,-74,143,-79,2256,316,78,43,940,246,888,282
"49",139.361111,36.777222,"1829640130",30,67,226,8028,182,-114,296,125,-72,145,-77,2247,316,76,44,943,240,895,276
"50",137.816667,35.715278,"1829870684",22,72,240,8055,176,-125,301,119,-81,137,-85,1871,262,57,45,752,191,614,233
"51",142.9,42.7300000405301,"1931717540",62,65,199,8888,226,-102,327,170,-59,187,-59,1014,162,35,46,446,113,437,113
"52",142.96,42.6000000404835,"1931719286",63,60,190,8656,220,-96,316,169,-56,185,-56,1047,160,36,44,456,116,433,116
"53",138.95,35.8500000348926,"1931725413",61,75,245,8045,214,-93,307,155,-43,176,-47,1808,284,42,55,836,140,754,171
"54",138.96,35.8300000348679,"1931725447",67,75,245,8044,219,-87,307,161,-38,181,-41,1703,273,33,62,809,107,773,127
"55",138.95,35.8400000348802,"1931727230",67,75,245,8053,220,-87,307,161,-37,182,-41,1745,274,36,60,816,118,777,143
"56",138.85,35.7300000347437,"1931728431",57,75,245,7992,208,-96,304,151,-47,171,-50,1875,286,48,51,835,162,742,197
"57",138.86,35.7300000347437,"1931728448",58,75,245,7993,210,-95,305,152,-46,172,-49,1761,289,42,55,833,142,709,172
"58",138.85,35.7300000347437,"1931728902",57,75,245,7992,208,-96,304,151,-47,171,-50,1875,286,48,51,835,162,742,197
"59",138.86,35.7200000347312,"1931728923",63,75,245,8005,215,-90,305,157,-41,177,-44,1763,288,43,54,829,145,705,175
"60",138.85,35.6600000346562,"1931729514",73,74,244,7993,225,-79,304,167,-31,187,-34,1732,278,44,55,820,146,735,173
"61",138.85,35.6800000346812,"1931729546",68,74,244,7988,219,-85,304,161,-36,181,-40,1860,284,48,53,845,162,777,193
"62",138.85,35.6800000346812,"1931729548",68,74,244,7988,219,-85,304,161,-36,181,-40,1860,284,48,53,845,162,777,193
"63",138.85,35.6600000346562,"1931729715",73,74,244,7993,225,-79,304,167,-31,187,-34,1732,278,44,55,820,146,735,173
"64",138.86,35.7200000347312,"1931730351",63,75,245,8005,215,-90,305,157,-41,177,-44,1763,288,43,54,829,145,705,175
"65",138.86,35.7300000347437,"1931730353",58,75,245,7993,210,-95,305,152,-46,172,-49,1761,289,42,55,833,142,709,172
"66",138.86,35.6800000346812,"1931730462",67,74,244,7989,219,-86,304,161,-37,181,-40,1797,284,43,56,844,143,772,170
"67",138.86,35.7000000347063,"1931730568",60,75,245,7980,211,-93,304,154,-44,174,-47,1826,291,45,53,844,153,732,184
"68",138.86,35.7100000347187,"1931730681",62,75,245,7993,213,-91,305,156,-42,176,-45,1783,289,44,53,833,148,711,180
"69",138.86,35.6900000346938,"1931730909",56,74,245,7959,207,-96,303,150,-47,170,-50,1890,294,46,54,867,156,782,187
"70",138.86,35.6800000346812,"1931731012",67,74,244,7989,219,-86,304,161,-37,181,-40,1797,284,43,56,844,143,772,170
"71",138.85,35.6700000346687,"1931731445",76,74,244,8012,228,-77,305,170,-28,191,-31,1778,279,45,54,829,151,757,179
"72",138.85,35.6800000346812,"1931731451",68,74,244,7988,219,-85,304,161,-36,181,-40,1860,284,48,53,845,162,777,193
"73",138.85,35.6500000346436,"1931731453",78,74,243,8002,229,-75,305,172,-26,192,-30,1726,280,44,55,822,146,728,173
"74",138.85,35.6700000346687,"1931731488",76,74,244,8012,228,-77,305,170,-28,191,-31,1778,279,45,54,829,151,757,179
"75",138.85,35.6300000346185,"1931736896",80,74,243,7990,231,-73,304,174,-24,194,-28,1737,281,43,56,828,143,743,168
"76",138.77,35.6700000346687,"1931754247",100,74,241,8115,253,-55,308,194,-6,215,-10,1574,211,46,43,611,156,610,189
"77",138.82,35.7200000347312,"1931756042",76,75,243,8059,228,-78,306,170,-29,191,-33,1634,211,48,43,627,160,616,194
"78",138.89,35.7400000347562,"1931760091",89,75,243,8086,242,-66,308,183,-17,204,-20,1326,247,28,63,700,92,559,112
"79",138.83,35.7500000347686,"1931764428",66,75,244,8046,219,-87,306,160,-39,181,-42,1701,236,46,47,701,154,664,186
"80",138.83,35.7500000347686,"1931764473",66,75,244,8046,219,-87,306,160,-39,181,-42,1701,236,46,47,701,154,664,186
"81",138.85,35.7400000347562,"1931765373",54,75,246,7991,206,-98,304,148,-49,168,-52,1852,287,46,51,834,156,732,191
"82",139.03,35.6600000346562,"1931701543",100,74,243,7999,251,-55,306,194,-5,214,-8,1758,265,43,54,786,137,724,161
"83",138.6,35.7400000347562,"1931706745",87,74,240,8187,242,-67,309,183,-19,204,-23,1617,267,37,57,774,127,683,157
"84",138.6,35.7300000347437,"1931706972",91,74,240,8195,246,-64,309,187,-16,208,-19,1615,266,37,58,773,127,687,155
"85",138.6,35.510000034467,"1931709568",102,72,237,8036,253,-50,303,196,-3,217,-6,1684,237,50,41,674,174,581,216
"86",138.6,35.510000034467,"1931710130",102,72,237,8036,253,-50,303,196,-3,217,-6,1684,237,50,41,674,174,581,216
"87",140.090833,37.655278,"1829501053",95,62,208,8177,250,-46,295,193,-15,213,-15,1178,155,65,32,440,209,439,209
"88",138.11298,36.03875,"1828739235",112,73,228,8587,273,-45,318,215,1,234,-4,915,131,24,47,375,86,312,109
"89",138.556944,36.495278,"1829622184",95,69,223,8475,254,-57,311,193,-13,216,-19,1070,151,38,44,425,126,383,138
"90",140.54203,38.65026,"2243092170",78,61,206,8135,233,-62,295,196,90,196,-30,1986,227,117,21,647,359,647,442
"91",139.1725,36.893611,"1829621134",35,65,221,8096,189,-107,296,131,-67,152,-72,2294,313,106,38,917,328,868,335
"92",138.364806,35.994778,"1829858899",19,74,242,8126,175,-130,305,117,-85,136,-89,1534,221,35,50,620,125,559,161
"93",137.1,36.4,"1830203627",77,58,197,8202,229,-64,294,174,37,196,-33,2857,335,182,21,952,554,831,662
"94",137.1,36.4,"1830203669",77,58,197,8202,229,-64,294,174,37,196,-33,2857,335,182,21,952,554,831,662
"95",137.6,36.566667,"1830204676",5,62,211,8077,158,-135,293,102,-35,123,-102,2311,278,153,21,796,463,670,522
"96",138.19467,36.64853,"1828737529",128,65,208,8596,288,-23,311,230,35,251,12,1051,140,57,36,408,179,360,181
"97",133.983333,33.8,"1830530182",94,55,214,7074,225,-32,257,179,4,197,0,3201,489,82,55,1375,288,1331,357
"98",0,0,"387667908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",139.584235,36.988354,"388804881",95,64,215,8188,248,-50,299,191,-10,212,-16,1484,239,53,54,709,161,658,168
"100",139.584235,36.988354,"388804882",95,64,215,8188,248,-50,299,191,-10,212,-16,1484,239,53,54,709,161,658,168
"101",141.035,43.123,"1828479989",72,43,146,8632,224,-71,295,179,82,196,-44,1175,130,65,18,366,205,325,302
"102",138.19467,36.64853,"1828737948",128,65,208,8596,288,-23,311,230,35,251,12,1051,140,57,36,408,179,360,181
"103",138.11298,36.03875,"1828739305",112,73,228,8587,273,-45,318,215,1,234,-4,915,131,24,47,375,86,312,109
"104",139.323056,36.628889,"1829622339",60,69,228,8131,214,-87,302,156,-44,177,-49,2274,333,63,49,993,199,954,242
"105",139.310278,36.620833,"1829622735",72,69,227,8173,227,-76,303,190,-32,190,-37,2134,324,58,51,928,184,928,221
"106",138.19467,36.64853,"1828737341",128,65,208,8596,288,-23,311,230,35,251,12,1051,140,57,36,408,179,360,181
"107",139.659233,36.845872,"388804847",87,65,218,8102,240,-58,297,183,-16,204,-22,1940,308,54,56,919,164,865,185
"108",138.19467,36.64853,"1828736778",128,65,208,8596,288,-23,311,230,35,251,12,1051,140,57,36,408,179,360,181
"109",138.19467,36.64853,"1828736795",128,65,208,8596,288,-23,311,230,35,251,12,1051,140,57,36,408,179,360,181
"110",143.205329,42.872246,"1829424111",81,67,201,9021,246,-86,332,189,-43,206,-43,1007,142,42,37,422,136,373,136
"111",137.197222,36.039722,"1934098877",76,67,220,8305,232,-72,304,175,4,195,-36,2263,323,116,36,866,359,731,382
"112",141.53125,40.0375,"1829023353",53,55,192,8010,203,-86,289,153,-48,170,-54,1748,248,93,31,700,291,590,297
"113",0,0,"387667794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",138.19467,36.64853,"1828736049",128,65,208,8596,288,-23,311,230,35,251,12,1051,140,57,36,408,179,360,181
"115",137.89966,36.30284,"1828737195",122,69,218,8671,284,-34,317,225,10,245,4,926,130,34,43,379,116,307,129
"116",138.20679,36.80624,"1828737226",110,61,201,8429,266,-36,302,209,70,231,-4,1384,172,69,26,481,223,432,308
"117",140.093889,36.658056,"1829899385",142,60,208,7838,287,-1,288,235,41,254,35,1346,202,37,48,573,111,488,135
"118",140.80968,40.7947,"2579606710",108,45,160,8158,255,-28,283,4,116,225,-3,1349,155,77,23,454,235,333,385
"119",140.80968,40.7947,"2579607218",108,45,160,8158,255,-28,283,4,116,225,-3,1349,155,77,23,454,235,333,385
"120",139.338611,36.849444,"1829620390",50,66,222,8108,203,-94,298,146,-53,167,-59,2095,280,82,40,832,252,802,273
"121",140.80839,39.172426,"1829853466",58,65,215,8270,217,-87,304,178,-52,178,-52,2121,248,122,22,720,386,720,386
"122",139.271667,36.886389,"1829620843",44,66,221,8105,197,-100,297,139,-59,161,-64,2211,315,88,44,934,270,895,281
"123",138.24918,36.40219,"1828735892",126,69,219,8662,287,-30,317,229,14,249,8,878,125,31,44,369,105,311,113
"124",138.42592,36.32722,"1828736107",113,71,225,8578,273,-43,316,215,2,235,-4,1193,167,36,46,498,124,453,142
"125",133.733333,33.75,"1830673090",109,51,203,7025,238,-15,252,194,19,211,15,3360,483,89,45,1345,305,1158,404
"126",133.583333,33.85,"1830673235",109,52,205,7077,239,-16,255,194,18,211,15,2894,461,63,52,1251,219,1009,298
"127",0,0,"387667862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",0,0,"387667864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",143.205329,42.872246,"1829424092",81,67,201,9021,246,-86,332,189,-43,206,-43,1007,142,42,37,422,136,373,136
"130",140.166944,37.649444,"391288027",97,61,207,8137,250,-44,294,191,-13,214,-13,1228,184,60,39,508,190,484,190
"131",121.43,24.39,"1085972444",57,47,296,3840,137,-22,159,77,7,107,5,2636,371,132,35,1039,408,708,482
"132",121.44,24.37,"1085974414",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"133",140.933,43.14,"1828480132",59,40,140,8542,209,-81,290,166,68,183,-55,1743,192,98,18,540,308,479,426
"134",137.5125,36.416389,"388804753",17,64,216,8151,171,-126,297,115,-52,135,-91,2271,294,140,28,852,441,710,447
"135",127.481388,35.617333,"2609411686",103,83,250,8974,263,-68,332,228,-22,228,-22,1483,322,31,81,928,101,928,101
"136",127.468667,35.610278,"2609412352",95,83,250,8925,255,-75,330,219,-29,219,-29,1678,375,36,81,1049,114,1049,114
"137",138.177667,35.885972,"1829851125",56,73,238,8270,213,-96,309,153,-50,174,-54,1527,221,40,46,596,138,505,177
"138",140.73,39.699722,"1829902865",108,64,206,8543,269,-42,312,231,-7,231,-7,1309,153,66,25,459,212,459,212
"139",138.578101,36.398958,"388804695",77,71,228,8395,235,-76,310,177,-31,197,-36,1343,215,26,66,631,88,620,101
"140",139.363056,36.8925,"1829619845",49,65,221,8100,202,-94,296,145,-53,166,-59,2017,255,91,34,748,277,718,291
"141",137.5,36.416667,"1934098813",26,64,215,8185,181,-117,298,125,-61,145,-83,2306,298,145,26,862,457,716,464
"142",137.5,36.416667,"1934098828",26,64,215,8185,181,-117,298,125,-61,145,-83,2306,298,145,26,862,457,716,464
"143",139.373333,36.894444,"1829619575",39,65,222,8063,191,-104,295,134,-63,155,-69,2169,293,94,36,854,290,794,306
"144",120.95,23.48,"1085970337",58,55,356,3351,130,-25,154,99,27,99,11,3081,550,68,68,1519,210,1519,250
"145",133.583333,33.85,"1830686830",109,52,205,7077,239,-16,255,194,18,211,15,2894,461,63,52,1251,219,1009,298
"146",133.583333,33.85,"1830687365",109,52,205,7077,239,-16,255,194,18,211,15,2894,461,63,52,1251,219,1009,298
"147",134,33.8,"1830687380",101,55,214,7099,232,-26,258,186,10,203,6,3039,475,69,59,1346,243,1323,303
"148",133.95,33.833333,"1830687550",91,56,216,7092,223,-35,258,176,1,194,-3,3279,496,94,45,1389,336,1171,425
"149",127.792444,35.354667,"2609411083",107,78,242,8765,263,-60,323,230,-15,230,-15,1473,320,20,80,919,76,919,76
"150",127.776194,35.349194,"2609412143",95,78,243,8698,250,-71,321,216,-26,216,-26,1667,362,22,82,1048,84,1048,84
"151",143.205329,42.872246,"1829424003",81,67,201,9021,246,-86,332,189,-43,206,-43,1007,142,42,37,422,136,373,136
"152",143.205329,42.872246,"1829424066",81,67,201,9021,246,-86,332,189,-43,206,-43,1007,142,42,37,422,136,373,136
"153",133.166667,33.733333,"1830686819",103,47,192,6850,228,-15,243,148,15,202,12,2455,368,60,48,976,208,776,276
"154",133.166667,33.733333,"1830687526",103,47,192,6850,228,-15,243,148,15,202,12,2455,368,60,48,976,208,776,276
"155",140.9205,43.189,"1828478274",67,39,136,8537,215,-73,288,-43,75,190,-47,1578,169,74,24,506,247,343,443
"156",138.436111,36.456667,"1829621265",71,69,225,8395,229,-80,309,168,-36,191,-42,1199,170,43,42,469,147,409,162
"157",138.634722,36.3275,"1829624984",99,72,229,8469,258,-56,314,197,-10,220,-15,1261,186,29,56,550,97,535,112
"158",121.28,24.19,"1085989661",66,51,312,3848,147,-17,164,106,15,115,13,2449,338,84,43,984,282,851,375
"159",134.1,33.85,"1933838989",78,57,221,7075,209,-49,259,162,-13,180,-16,3365,521,94,49,1480,342,1280,420
"160",133.95,33.833333,"2244523288",91,56,216,7092,223,-35,258,176,1,194,-3,3279,496,94,45,1389,336,1171,425
"161",141.318114,39.485344,"1829852289",109,64,211,8319,266,-39,306,210,-3,229,-3,1285,156,57,31,463,177,447,177
"162",121.44,24.37,"1085985115",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"163",121.43,24.37,"1085985363",60,47,296,3854,141,-19,160,101,10,111,8,2537,338,117,36,954,361,783,428
"164",121.45,24.36,"1085986110",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"165",141.001132,39.852571,"1829861434",16,65,212,8269,175,-129,304,117,-93,137,-93,1866,232,97,29,690,304,685,304
"166",141.518276,40.078699,"1829853602",66,55,190,8019,215,-73,288,166,-36,182,-43,1534,210,87,27,585,275,481,278
"167",145.16149,44.133273,"388804915",-12,31,120,7585,119,-141,260,50,-117,96,-117,1335,168,59,26,480,210,363,210
"168",137.483333,35.916667,"1933838988",17,71,235,8116,172,-129,302,112,-54,133,-91,1769,253,72,36,659,242,527,278
"169",126.576682,37.262467,"2609411353",123,67,201,9398,284,-51,334,252,-9,252,-9,1367,327,26,85,905,79,905,79
"170",138.19467,36.64853,"1828733948",128,65,208,8596,288,-23,311,230,35,251,12,1051,140,57,36,408,179,360,181
"171",138.19467,36.64853,"1828734350",128,65,208,8596,288,-23,311,230,35,251,12,1051,140,57,36,408,179,360,181
"172",137.89966,36.30284,"1828736031",122,69,218,8671,284,-34,317,225,10,245,4,926,130,34,43,379,116,307,129
"173",139.274722,36.678056,"1829628107",91,68,224,8261,246,-59,305,187,-15,209,-21,1790,223,61,39,665,193,655,228
"174",137.8125,36.227917,"2576129702",85,70,223,8508,245,-68,313,183,-24,206,-30,1214,201,37,54,532,123,431,139
"175",141.67679,39.6041,"2579606569",100,58,198,8017,250,-42,291,199,-2,216,-9,1261,189,52,39,544,158,472,179
"176",137.55,36.75,"1830189456",62,56,192,8172,213,-78,291,-40,74,181,-47,2830,321,166,21,895,510,775,725
"177",143.205329,42.872246,"1829424304",81,67,201,9021,246,-86,332,189,-43,206,-43,1007,142,42,37,422,136,373,136
"178",138.57593,35.98379,"1828729014",76,74,238,8301,233,-79,312,172,-31,194,-36,1337,194,27,55,569,93,543,121
"179",139.191111,36.542778,"1829636017",73,70,229,8213,228,-77,305,169,-32,191,-38,2055,327,49,54,956,161,871,200
"180",139.028099,35.157454,"388804545",116,62,222,7420,252,-26,278,204,18,221,15,2397,321,77,42,911,257,817,294
"181",138.303143,35.974003,"2579692639",69,74,236,8338,227,-84,312,169,-38,188,-43,1495,211,37,48,623,129,540,166
"182",138.303143,35.974003,"2579701480",69,74,236,8338,227,-84,312,169,-38,188,-43,1495,211,37,48,623,129,540,166
"183",138.303142,35.982335,"2579701662",71,74,236,8349,229,-83,312,171,-37,190,-41,1464,205,37,47,611,129,523,164
"184",139.166389,37.002222,"1829619083",37,64,216,8093,190,-104,294,133,-71,154,-71,2342,296,126,31,869,388,844,388
"185",133.19375,33.7875,"1830662760",95,48,195,6863,220,-24,244,140,7,195,3,2574,397,65,49,1051,223,830,291
"186",137.86191,36.3968,"1828733240",120,68,215,8640,281,-34,315,223,45,243,3,986,144,42,43,403,137,335,145
"187",128.355556,38.355556,"2609411379",95,58,180,9039,246,-74,320,219,-33,219,-33,1329,310,30,83,856,102,856,102
"188",138.23433,36.75557,"1828733265",119,62,204,8500,276,-29,305,218,79,241,4,1209,160,63,30,447,199,399,245
"189",137.8494,36.50323,"1828733282",110,65,210,8562,269,-41,310,212,37,233,-6,1099,158,59,38,429,182,367,185
"190",140.64813,39.17945,"1828733287",114,64,208,8421,274,-33,307,42,129,235,1,1514,159,90,18,473,278,430,358
"191",139.015597,35.240778,"388804483",101,65,229,7530,240,-44,284,190,2,208,-1,2405,300,81,36,860,269,773,316
"192",0,0,"1828489121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",0,0,"1828489251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",0,0,"1828489263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",0,0,"1828489655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",140.64813,39.17945,"1828733289",114,64,208,8421,274,-33,307,42,129,235,1,1514,159,90,18,473,278,430,358
"197",139.053091,35.207448,"388804481",124,64,226,7508,262,-20,283,213,25,231,22,1937,288,53,47,797,173,645,206
"198",138.568888,35.991671,"1829850547",69,74,239,8278,226,-85,311,166,-37,188,-42,1413,207,31,52,598,109,550,139
"199",138.568888,35.991671,"1829850533",69,74,239,8278,226,-85,311,166,-37,188,-42,1413,207,31,52,598,109,550,139
"200",136.462028,35.803864,"1829854668",112,60,206,8060,263,-29,292,10,125,229,4,2393,278,155,22,814,465,563,652
"201",136.462028,35.803864,"1829854747",112,60,206,8060,263,-29,292,10,125,229,4,2393,278,155,22,814,465,563,652
"202",137.908325,36.779064,"1829861203",117,59,195,8431,272,-29,301,217,77,238,3,1316,148,71,21,416,229,360,325
"203",137.65,36.55,"1830228541",70,63,208,8346,226,-75,302,170,-19,191,-42,1390,174,86,26,500,266,424,278
"204",140.80302,42.76448,"2579606406",78,44,151,8532,229,-64,293,184,88,201,-37,1283,139,76,20,410,229,385,305
"205",144.16466,43.453882,"388804444",7,62,196,8623,167,-148,315,114,-113,129,-113,1341,189,54,36,552,183,484,183
"206",138.93037,36.01862,"736058267",130,75,237,8372,288,-28,316,227,21,249,17,1007,180,20,61,510,68,421,86
"207",138.346,36.455,"1828673867",99,69,221,8528,259,-54,313,201,-10,221,-16,1305,192,51,40,557,169,458,177
"208",140.72998,39.69967,"1828725752",108,64,206,8543,269,-42,312,231,-7,231,-7,1309,153,66,25,459,212,459,212
"209",140.72998,39.69967,"1828725827",108,64,206,8543,269,-42,312,231,-7,231,-7,1309,153,66,25,459,212,459,212
"210",139.4625,36.630278,"1829649144",103,68,225,8205,257,-47,304,199,-3,220,-8,1692,235,48,45,699,150,656,187
"211",131.309444,32.870278,"1829887521",148,65,236,7327,283,8,275,236,50,252,50,2274,348,59,48,1000,215,758,215
"212",140.44023,41.1901,"2579606628",105,36,132,8051,247,-25,272,208,63,222,-3,1073,135,59,26,397,181,354,238
"213",139.10007,35.9873,"736058272",141,75,238,8300,297,-18,315,183,32,259,28,1102,150,31,45,442,101,399,125
"214",140.76123,40.30342,"1829459378",104,57,190,8401,261,-40,301,206,14,226,-9,1310,166,73,29,494,220,471,243
"215",139.238889,36.930278,"1829618819",68,65,217,8198,222,-76,299,164,-36,186,-42,1561,211,76,35,612,230,566,231
"216",139.343889,36.607222,"1829648946",77,69,228,8172,231,-72,303,172,-28,194,-33,1994,325,44,60,951,134,926,157
"217",121.37,24.44,"1086006687",144,47,263,4450,232,54,178,166,83,201,82,2872,401,154,30,1103,478,743,584
"218",141.32092,45.18895,"1830217092",70,23,89,8212,206,-58,264,179,27,188,-40,1021,114,45,28,336,138,321,225
"219",139.4,36.598056,"1829646053",117,69,225,8277,273,-34,307,213,10,235,5,1406,213,33,54,635,103,612,129
"220",139.428056,36.776389,"1829648053",69,67,223,8136,222,-77,299,165,-35,186,-40,1716,286,46,59,842,140,799,161
"221",137.583333,36.566667,"1830229848",20,62,209,8129,172,-121,294,117,-21,138,-88,2365,287,159,20,819,480,685,544
"222",137.55,36.55,"1830234026",67,62,205,8303,222,-78,300,165,-23,187,-45,2138,273,137,21,764,436,633,477
